"varNames","AU","CA","DE","ES","FR","GB","IT","NDF","NL","other","PT","US","MeanDecreaseAccuracy","MeanDecreaseGini"
"date_account_created",-1.35499573875979,-0.957807713861741,-3.81662024007627,-6.02255469562672,-6.79998218973906,-3.3177818864466,-2.91581618291151,23.658261365001,-0.24578286508424,-10.6223326228251,-1.0119704599808,2.08984630031155,28.1922109399493,2550.1598726053
"timestamp_first_active",-2.20896904812957,-2.87835655595557,-2.89727580400371,-4.7544477973099,-8.18350419530078,-4.36586780219711,-5.88227990328961,26.3423820032424,-0.957360407529269,-11.9906545035851,-0.0801864700533556,2.57656570102444,32.9883481453106,3241.76098390838
"date_first_booking",-2.12650757135069,-3.02828663909641,-3.20821241524027,-4.46447978849711,-7.45568168783977,-2.80428532531002,-3.95057460878755,23.348075301539,-1.38211398701899,-10.3488033707243,-0.664223392686503,2.0166214121573,29.4431841529248,2578.01372717353
"gender",-2.19235345194476,-1.30801577123338,-3.2983835628103,-0.178354968078886,-4.67659987090165,-3.02222536912836,0.990111063229235,35.5076541340533,-0.646922441787899,-5.63940327636482,0.692644541063676,-17.4264779468601,34.4111508315769,2553.84374879438
"age",-1.00414623500881,-1.46020013468657,-0.378278000646302,-0.00678193459019603,-1.91853463377355,-0.819126991552358,0.405304134708324,54.9788189211981,-0.176196665469901,-2.00178119424862,-0.551180796004502,11.7321917968213,60.6235064622123,7893.28816031716
"signup_method",-3.0205159316478,-0.392425421332409,-0.811829708894225,-0.141718041191864,-4.22571954873878,-0.812794423357172,-0.463493511557058,39.7885494555593,-1.02123303526288,-3.06644978628617,0,-24.1852363375525,40.7678744676391,2108.62208404214
"signup_flow",-1.68952716515187,-1.13415501501784,-2.13923246315044,-4.45609933287341,-4.10485107965212,-1.31543783156164,-2.49971891064196,12.6369299967666,-0.555219357393619,-5.59517762654052,-1.00250941423417,9.37713181450195,18.3520761240255,747.478628314516
"language",0.0104753715051791,0.699246351931586,1.41582011206282,0.358370827734934,-0.910142994061431,0.641513232182308,0.288561674500498,10.6352527986544,0.0104124325424475,1.00431030994497,-1.00250941423417,9.63254376869136,13.9343209356831,554.266380871229
"affiliate_channel",-1.09207413481581,-0.560934703843169,-0.742442414792126,-2.30562448962759,-3.63509672924401,-0.500298290910727,-1.27874612437323,17.4590335105042,-0.650512425140778,-5.70500474905869,0.504807246066577,4.3661572415395,21.527689460819,1222.24897036662
"affiliate_provider",0.347531543372204,0.0901938475356243,0.457301795724615,-1.74388580156038,-4.10773190752088,-0.246749836806177,-1.05217275481788,17.4315145592156,-0.640058505164303,-5.98117974033679,0.539013175346356,1.68071682151981,20.7913809516547,826.404844529568
"first_affiliate_tracked",-0.366038269406517,-1.00073929178414,-2.03878806767621,-0.385995134755376,-3.18955329243113,1.300298780687,-0.25525360817849,15.7638540455222,-0.516148758770595,-3.3379173400863,-0.994592743454376,5.13309797743372,20.4993270113415,1191.771221268
"signup_app",-1.34192437026034,0.0311427387400339,-2.21190173416334,-1.83124914118117,-1.2992698248797,-1.46391299776656,-0.16621867342484,8.66299922014113,-0.888467219337847,-3.41930429370601,0,3.22448497850414,10.3815345794515,363.030049430389
"first_device_type",-1.74973172180654,-1.15486179614167,-0.362583991534923,-2.6132254963998,-2.3373014199827,-1.15791025726007,0.283669217760774,14.6204670464756,0.46845968820636,-5.51592131631621,-1.41623921326804,2.92459262162955,16.6205832018369,1103.02038881296
"first_browser",0,0,0,0,0,0,0,-0.574132080378371,0,0,0,-1.3517029649133,-1.44448108502377,1599.74212214403
"date_first_active",-2.39592435569523,-0.913161247961377,-2.10680113054887,-4.47723150016392,-7.24317095994847,-3.04496492808913,-2.8230927396593,19.2933598416608,-2.064583278835,-9.04650508194063,-0.391059359266514,5.05447167485919,24.7547899472206,2533.07050162088
"days_first_booking_active",0,0,0,-1.00250941423417,-0.577442849179918,1.75008134114437,-0.0326584837476987,4.17079628797383,0,-2.02027679730993,0,0.183447975994518,3.4169353656133,27.3918370717542
"days_first_booking_created",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"booking_request",-2.14489804933031,4.37628739515585,1.53561663177582,0.819050692334229,0.639194483222519,-0.181366827397671,2.02356672122498,19.5828553177488,-0.396014332822209,1.95381972892976,1.4213110915711,24.5234463553768,35.4261978691721,1778.60442014174
"booking_response",0,0,0,0,0,0,0,0,0,0,0,0,0,0.106000644979176
"click",-1.17582443393675,-1.46356754449603,-0.202573557583838,-2.11570185946567,-1.57360471592774,-1.55144912887858,0.595779295328975,4.25922515082142,0.171388300051901,-0.219450722788693,-0.478735652046353,6.21216616807063,6.9339304707529,1419.96431838118
"data",-2.6649340596055,-2.26130240731379,1.67119005249864,1.64537045617618,-3.77803637339898,-3.45066901797575,-1.32935407058142,9.68100838997531,0.195418992241294,-3.17180961827694,-1.31497056642833,4.45577804613396,12.0028522778622,1573.37076581792
"message_post",0.329282815908853,-0.403989197877055,0.273494082291086,1.93977218765999,-2.48051180870854,0.180239361768124,-3.63446978358122,10.6168091677099,0.110431318935121,-2.99898315003301,1.31290954808929,13.8320117354946,19.1104247334643,1388.54349429658
"modify",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other_action_types",-2.63043251126446,-2.03482525160486,2.56636431238238,-2.8552179218131,-2.42891106459239,-5.09336293470022,-4.31090283249536,9.72895245745616,-2.03036706721432,-5.37521894698896,-0.482651671085959,8.27691975641891,14.0161367421939,1499.4439402821
"partner_callback",-1.00250941423417,2.06223228949487,-1.00250941423417,-2.17848278587942,-1.97443162489741,0.272634208925405,-3.34117368682917,5.85717002256426,-0.505178040864834,-4.143230982531,0,-1.48331008551893,3.94929933973302,213.962103599246
"submit",-1.48712162536641,0.754640433030735,3.86778673792255,-1.72702243002099,-1.25608283152162,-1.02499287187218,0.694634789104319,7.61488972454686,-0.701326025920243,-1.38083704939053,-0.527552085708712,4.7297302508128,13.4889915492413,1668.57842910202
"view",-1.74782370036881,-1.37694216717007,0.568833951181552,-1.47457349097111,-0.405440368813061,-1.75894429376708,-1.01616518564605,12.2957272586521,-1.49695721203952,-3.79612602830593,-0.537375353351065,4.02813471448966,16.1271496902975,1444.81674148805
"android_app_unknown_phone_tablet",0,1.74381093131396,0,-1.00250941423417,1.12340120435613,0,1.00250941423417,1.57728386205947,1.00250941423417,0.413959045222817,0,-0.102480505953354,1.8389605082276,75.3487674602866
"android_phone",-1.00250941423417,1.30545581515643,0,-0.835861799627884,0.493623415962941,0.466561145412715,0.299111398532899,2.80731555856874,-1.00250941423417,-2.29683436896536,0,-2.11756914308588,2.05638684549957,149.13934476363
"blackberry",0,0,0,0,0,0,0,-2.71123928093326,0,0,0,1.35155736676877,-2.12608745296543,5.80543498435198
"chromebook",0,0,0,0,0,0,-0.587619659413727,-3.95227952106694,0,2.3694431336949,0,-2.82512194068622,-4.58832955415409,21.7258657907663
"iPad_tablet",0.980581634269876,0.37801973014738,-0.0242779510387909,0.129400911394121,2.70330765815874,1.13314801461573,-0.401251953590809,0.574932492749673,0.541753194656487,0.469730889290054,0,-0.204990704725983,0.616494233063596,254.665010958752
"iPodtouch",0,0,0,0,0,0,0,-1.30715901857838,0,0,0,2.02028177426599,-0.630317905962137,3.19734031983076
"linux_desktop",0,1.00250941423417,0,0,0,0,1.00250941423417,-3.1636484778322,0,-1.12987971895431,0,-0.167094820644,-3.01550834312324,30.9169859054008
"mac_desktop",-2.35813290516995,0.490708557652155,0.776320910751102,-0.647968343230996,0.461110574562928,-0.748459978996967,-0.831364668743586,7.21633883185889,0.751291049006952,-3.08249620322667,-0.0667057165368049,1.72229025913101,8.99249464185417,815.976343959884
"opera_phone",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133929033365136
"other_device_types",0.474342485084669,0.0199466746085829,0.281100281174841,-1.93241726686326,-0.761178629154409,-0.907858266943922,-1.51198420059215,6.46963959743747,-1.516402420403,-3.61910109579929,0,2.10326455186179,7.28437171446924,635.33271914751
"tablet",0,0,0,0,0.0163068480154789,0.0085397828265623,0.579300378276796,-1.97330390915628,0,1.68592732920114,0,-3.3732686491121,-3.00585387779506,55.1581151278713
"windows_desktop",-1.00250941423417,-0.258887972675898,1.14068279569579,-0.453827083854286,-1.14032850533357,-0.0530608852120357,0.159750147408465,8.12540167383306,1.37317106694631,-0.364906619395262,-1.00250941423417,1.50272894544065,9.48370827057625,682.359850672016
"windows_phone",0,0,0,0,0,0,0,-1.23001140362369,0,0,0,1.00250941423417,-0.75827635824745,5.21717988946244
